, gaze_angle_x, gaze_angle_y, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz,mouth,y,y_pre_label
99,0.049,0.088,13.5,41.2,463.4,-0.077,-0.037,0.029,3.6,1,1
100,0.044,0.105,13.5,41.6,462.2,-0.064,-0.037,0.029,3.7,1,1
101,0.03,0.135,13.5,41.7,462.0,-0.059,-0.035,0.028,3.6,1,1
102,0.03,0.121,13.4,41.8,462.0,-0.061,-0.036,0.029,3.7,1,1
103,0.038,0.126,13.3,41.6,460.4,-0.059,-0.033,0.029,3.6,1,1
104,0.041,0.127,13.3,41.6,460.0,-0.057,-0.033,0.028,3.6,1,1
105,0.039,0.125,13.2,41.6,459.4,-0.057,-0.033,0.029,3.5,1,1
106,0.025,0.127,13.2,41.6,459.6,-0.056,-0.033,0.029,3.6,1,1
107,0.033,0.123,13.2,41.8,458.7,-0.051,-0.032,0.029,3.7,1,1
108,0.036,0.118,13.3,42.0,457.7,-0.051,-0.032,0.028,3.6,1,1
109,0.027,0.143,13.3,42.2,456.4,-0.04,-0.031,0.028,3.5,1,1
110,0.018,0.149,13.5,42.6,457.9,-0.031,-0.028,0.026,3.4,1,1
111,0.025,0.148,13.6,42.9,457.0,-0.028,-0.027,0.028,3.4,1,1
112,0.028,0.161,13.7,43.1,456.0,-0.021,-0.031,0.027,3.5,1,1
113,0.023,0.145,13.7,43.6,455.6,-0.019,-0.027,0.03,3.6,1,1
114,0.015,0.122,13.7,44.4,455.3,-0.009,-0.025,0.029,3.4,1,1
115,0.001,0.136,13.6,45.4,455.4,0.0,-0.022,0.028,3.1,1,1
116,-0.03,0.171,13.4,46.3,454.5,0.02,-0.018,0.027,3.1,1,1
117,-0.025,0.169,13.2,47.2,454.3,0.025,-0.02,0.026,3.2,1,1
118,-0.026,0.164,13.0,48.2,455.3,0.03,-0.02,0.027,3.1,1,1
119,-0.026,0.181,12.6,48.9,454.6,0.038,-0.017,0.025,3.2,1,1
120,-0.029,0.153,12.3,49.3,454.4,0.035,-0.015,0.023,3.2,1,1
121,-0.031,0.178,12.1,49.3,452.3,0.046,-0.013,0.025,3.3,1,1
122,-0.021,0.198,11.9,49.5,452.4,0.049,-0.01,0.025,3.2,1,1
123,-0.031,0.209,11.7,49.4,451.5,0.048,-0.008,0.026,3.0,1,1
124,-0.021,0.22,11.5,49.3,451.3,0.054,-0.009,0.027,2.9,1,1
125,-0.032,0.204,11.4,49.1,450.7,0.052,-0.009,0.029,2.6,1,1
126,-0.027,0.213,11.3,48.8,449.7,0.057,-0.011,0.028,2.7,1,1
127,-0.02,0.21,11.2,48.8,449.8,0.056,-0.011,0.03,2.8,1,1
128,-0.027,0.21,11.2,48.6,449.2,0.057,-0.013,0.029,2.8,1,1
129,-0.024,0.204,11.1,48.6,448.1,0.055,-0.013,0.03,2.9,1,1
130,-0.027,0.22,11.0,48.7,448.1,0.062,-0.013,0.029,3.0,1,1
131,-0.023,0.212,11.0,48.9,447.7,0.063,-0.018,0.029,2.9,1,1
132,-0.038,0.208,10.7,49.2,446.7,0.071,-0.019,0.03,2.9,1,1
133,-0.018,0.226,10.3,49.9,445.1,0.083,-0.024,0.029,2.7,1,1
134,-0.013,0.234,9.9,50.9,444.2,0.096,-0.023,0.029,2.7,1,1
